date,user_location
2020-07-24,234
2020-07-25,13449
2020-07-26,5966
2020-07-27,5921
2020-07-28,5836
2020-07-29,2225
2020-07-30,1538
2020-07-31,6079
2020-08-01,6017
2020-08-02,5875
2020-08-04,6078
2020-08-06,5922
2020-08-07,855
2020-08-08,5956
2020-08-09,5930
2020-08-10,3894
2020-08-11,6088
2020-08-12,6028
2020-08-13,6018
